gb_date,min_signal,max_signal,y_actual,dispersion_u
1993-03-17,-0.11065833,-0.11065833,-0.18135245901639369,0.0
1995-01-25,-0.024390223,-0.024390223,0.21864754098360667,0.0
1995-12-14,0.024715496,0.05204822,0.018647540983606496,0.027332724
1996-01-26,0.1680276,0.44775915,0.018647540983606496,0.27973155
1996-03-21,0.14442395,0.15658339999999998,0.018647540983606496,0.012159449999999988
1996-05-16,-0.007921265,0.05275069,0.018647540983606496,0.060671955
1996-06-26,-0.074487135,-0.074487135,0.018647540983606496,0.0
1996-08-15,0.01477216,0.06281699,0.11864754098360702,0.048044830000000004
1996-09-18,0.046326026,0.14347294,0.018647540983606496,0.097146914
1996-11-06,0.1685651,0.40213844,-0.08135245901639315,0.23357334
1996-12-12,0.04660867,0.1481299,-0.08135245901639404,0.10152123000000002
1997-01-29,0.18646686,0.27186254,-0.381352459016393,0.08539567999999997
1997-03-19,-0.10992871,0.003423525,-0.18135245901639369,0.113352235
1997-05-15,0.21700308,0.28945783,-0.2813524590163942,0.07245475000000004
1997-06-25,0.20002292,0.25845414,-0.08135245901639315,0.058431220000000006
1997-08-14,0.15219787,0.33939946,-0.2813524590163933,0.18720158999999997
1997-09-24,0.14204441,0.2730205,-0.08135245901639315,0.13097609
1997-11-06,0.046210065,0.11918931,0.21864754098360667,0.072979245
1997-12-11,-0.050404593,0.07375166,0.3186475409836072,0.124156253
1998-01-28,0.16244163,0.32775986,0.11864754098360702,0.16531823
1998-03-25,0.07803741,0.32074124,0.3186475409836063,0.24270382999999998
1998-05-14,0.189125,0.47027278,0.4186475409836069,0.28114778
1998-06-24,0.5359575,0.5621451999999999,0.5186475409836065,0.026187699999999925
1998-08-13,0.3285519,0.5185417,0.5186475409836065,0.1899898
1998-09-23,0.23493047,0.41003627,0.4186475409836069,0.17510579999999998
1998-11-12,0.367265,0.5282295,0.21864754098360667,0.1609645
1998-12-16,0.18898259,0.29057205,0.018647540983606496,0.10158946000000002
1999-01-28,0.32441620000000004,0.44280332,0.018647540983606496,0.11838711999999996
1999-03-24,0.16338450000000002,0.31177540000000004,-0.08135245901639404,0.14839090000000002
1999-05-13,0.14027259,0.29441103,-0.08135245901639404,0.15413844000000002
1999-06-23,0.25221798,0.3759395,0.11864754098360615,0.12372151999999997
1999-08-18,0.14443122,0.2908597,-0.08135245901639404,0.14642848
1999-09-29,-0.06557287,0.078001335,-0.08135245901639315,0.143574205
1999-11-10,-0.011589469,0.1946841,-0.08135245901639315,0.206273569
1999-12-15,-0.047200307,0.17014576,0.11864754098360615,0.217346067
2000-01-27,0.0903129,0.40594667,0.11864754098360615,0.31563377000000004
2000-03-15,0.056355685,0.2216558,0.018647540983606496,0.16530011499999997
2000-05-11,-0.0998223,-0.0008066166,0.018647540983606496,0.0990156834
2000-06-21,0.11681466,0.19765784,0.21864754098360667,0.08084318
2000-08-16,0.3037414,0.43281966,0.11864754098360702,0.12907826
2000-09-27,0.20565732,0.8254971999999999,0.4186475409836069,0.6198398799999999
2000-11-08,0.16516960000000006,0.37976164,0.7186475409836067,0.21459203999999996
2000-12-13,0.39573312,0.6681047,0.918647540983606,0.27237158
2001-01-25,0.666683,1.1629539,1.118647540983607,0.49627089999999996
2001-03-14,0.623503,1.3139279,0.8186475409836073,0.6904248999999999
2001-05-09,0.574168,0.86397403,1.0186475409836064,0.28980602999999994
2001-06-20,0.672912,0.8408976999999999,0.918647540983606,0.1679856999999999
2001-08-16,0.5248229,0.7753472,1.4186475409836068,0.25052430000000003
2001-09-27,0.7024017,0.9395567,0.7186475409836058,0.237155
2001-10-31,0.3246316,0.509771,0.5186475409836065,0.18513939999999995
2001-12-05,0.09849386,0.50218844,0.018647540983606496,0.40369457999999997
2002-01-23,-0.05284223,0.07210107,-0.08135245901639315,0.12494330000000001
2002-03-13,-0.21839935,-0.13799125,-0.38135245901639386,0.08040809999999998
2002-05-01,0.070636556,0.13088082,-0.18135245901639369,0.060244264000000006
2002-06-20,0.0186135,0.08452208,-0.2813524590163933,0.06590858
2002-08-07,-0.12908258,-0.1098416,0.21864754098360667,0.019240980000000005
2002-09-18,-0.17259501,-0.09031542,0.21864754098360573,0.08227959
2002-10-30,-0.0077888240000000015,0.11723642,0.11864754098360702,0.125025244
2002-12-04,-0.007323848000000002,0.12558968,-0.18135245901639369,0.132913528
2003-01-22,-0.14552642,-0.011129515,0.21864754098360667,0.13439690499999998
2003-03-13,-0.00097258575,0.3527584,0.018647540983606496,0.35373098575
2003-04-30,-0.092203185,0.121448874,-0.1813524590163928,0.213652059
2003-06-18,-0.05561973,-0.009280251,-0.4813524590163935,0.046339479
2003-08-06,-0.25730148,-0.19253881,-0.2813524590163933,0.06476267000000002
2003-09-10,-0.3223553,-0.16379437,-0.7813524590163933,0.15856093000000002
2003-10-22,-0.37064525,-0.29427278,-0.6813524590163936,0.07637246999999997
2003-12-03,-0.3331372,-0.2832018,-0.5813524590163931,0.04993540000000002
2004-01-21,-0.30787885,-0.23417206,-0.1813524590163928,0.07370679
2004-03-11,-0.2391728,-0.09490873,-0.2813524590163933,0.14426407
2004-04-28,-0.3120384,-0.14900996,-0.381352459016393,0.16302844
2004-06-23,-0.1473362,-0.08465184,-0.1813524590163928,0.06268436
2004-08-05,-0.19199444,-0.13227916,-0.08135245901639315,0.05971527999999998
2004-09-15,-0.20353812,-0.07633315,-0.08135245901639315,0.12720496999999997
2004-11-03,-0.099388614,-0.014302151,-0.08135245901639404,0.085086463
2004-12-08,-0.11990239,0.09939663,-0.08135245901639404,0.21929902
