gb_date,min_signal,max_signal,y_actual,dispersion_gdp
1993-03-17,-0.7033363,-0.7033363,-0.21974043715846991,0.0
1995-01-25,-1.0725346000000002,-1.0725346000000002,-1.1197404371584705,0.0
1995-12-14,-0.6670100999999999,-0.60658276,0.18025956284152972,0.06042733999999994
1996-01-26,0.62029374,1.1575518,-0.31974043715846995,0.53725806
1996-03-21,-0.49644685,-0.29804677,-2.3197404371584702,0.19840007999999998
1996-05-16,-1.4938986,-1.1030078,-2.51974043715847,0.3908908
1996-06-26,-1.1544988,-1.1544988,-1.31974043715847,0.0
1996-08-15,-0.81667405,-0.7159765,-1.1197404371584698,0.10069755000000002
1996-09-18,-1.2534785,-0.77602583,-0.61974043715847,0.4774526699999999
1996-11-06,-0.74636585,-0.5303467,-1.0197404371584695,0.21601915000000005
1996-12-12,-0.88132375,-0.72049797,-0.41974043715846987,0.16082577999999992
1997-01-29,-0.7301633000000001,-0.5090134,-2.01974043715847,0.22114990000000012
1997-03-19,-1.2241476,-0.9913467,-0.7197404371584701,0.23280089999999998
1997-05-15,-0.7487968,-0.28650590000000004,-0.8197404371584704,0.4622909
1997-06-25,-0.9202523,-0.7923733000000001,-1.2197404371584704,0.12787899999999996
1997-08-14,-1.2208538,-0.93663013,-1.8197404371584696,0.28422367000000004
1997-09-24,-1.2075332,-0.93221045,-2.71974043715847,0.27532275000000006
1997-11-06,-1.0744857,-0.85543424,-3.4197404371584703,0.2190514600000001
1997-12-11,-1.0913008,-0.89309937,-1.8197404371584704,0.19820143
1998-01-28,-1.0161185,-0.7473666999999999,-2.01974043715847,0.2687518
1998-03-25,-0.9759353,-0.7843574000000001,-1.21974043715847,0.19157789999999986
1998-05-14,-0.7902312,-0.5697293999999999,-1.11974043715847,0.22050180000000008
1998-06-24,0.21802896,1.2554883999999995,-1.3197404371584702,1.0374594399999995
1998-08-13,-1.0573431,-0.40337443,-2.1197404371584705,0.65396867
1998-09-23,-1.0976739,-0.5423922,-1.1197404371584705,0.5552817
1998-11-12,-1.1653193000000002,-0.47023,-1.8197404371584696,0.6950893000000002
1998-12-16,-1.0542896000000002,-0.70358413,-2.6197404371584705,0.3507054700000002
1999-01-28,-1.0964832,-0.15327165,-3.619740437158472,0.94321155
1999-03-24,-1.1328121000000002,-0.7615217,-0.11974043715846985,0.37129040000000024
1999-05-13,-1.0106173,-0.8971200999999999,0.5802595628415304,0.11349720000000019
1999-06-23,-0.904167,-0.755254,-1.21974043715847,0.14891300000000007
1999-08-18,-0.9021059,-0.67494464,-2.1197404371584705,0.22716126000000003
1999-09-29,-1.1987915,-0.92348605,-1.4197404371584696,0.27530545000000006
1999-11-10,-1.8197277,-0.8526203000000001,-1.9197404371584696,0.9671074
1999-12-15,-1.3719993,-1.2414272,-1.1197404371584705,0.13057209999999997
2000-01-27,-1.1395893,-0.9005421,-1.5197404371584695,0.2390471999999999
2000-03-15,-1.5272968,-1.1188568,-2.6197404371584696,0.4084399999999999
2000-05-11,-1.5957152,-1.3802257,-1.5197404371584695,0.2154894999999999
2000-06-21,-1.3962095,-1.1219692,-0.019740437158470625,0.2742403
2000-08-16,-0.8412889000000001,-0.59612715,0.08025956284152991,0.24516175000000007
2000-09-27,-0.85561883,1.6966655,-0.5197404371584702,2.55228433
2000-11-08,-0.9499878,-0.35482988,0.2802595628415301,0.5951579200000001
2000-12-13,-0.40730086,1.4552915000000002,3.28025956284153,1.8625923600000003
2001-01-25,0.275936,0.90007186,1.78025956284153,0.62413586
2001-03-14,1.3504877,2.7943811000000003,1.6802595628415296,1.4438934000000003
2001-05-09,1.1663932,2.4056046,1.6802595628415302,1.2392114000000003
2001-06-20,2.2602057,3.5459385,0.9802595628415298,1.2857328
2001-08-16,1.7513663000000002,3.5806777000000003,2.8802595628415304,1.8293114000000001
2001-09-27,4.4641905,4.7127919999999985,4.98025956284153,0.2486014999999986
2001-10-31,4.2240910000000005,4.86382,4.780259562841531,0.6397289999999991
2001-12-05,4.843445,5.056127,0.9802595628415298,0.21268200000000004
2002-01-23,-0.8171174,1.8037038,-0.81974043715847,2.6208212
2002-03-13,-1.1355368,-0.5050564999999999,1.1802595628415296,0.6304803
2002-05-01,-0.4608932,-0.0023943558,1.3802595628415295,0.4584988442
2002-06-20,-0.44758987,0.031371735,-0.01974043715847018,0.478961605
2002-08-07,-0.57423055,-0.25040886,-0.7197404371584704,0.32382169
2002-09-18,-1.0263053,-0.22578266,1.8802595628415293,0.80052264
2002-10-30,-0.18812302,1.151994,2.28025956284153,1.3401170199999999
2002-12-04,-0.05800072,1.0985454,1.4802595628415298,1.1565461199999998
2003-01-22,-0.72826844,0.25301743,1.6802595628415304,0.98128587
2003-03-13,-0.72707176,-0.4446386,1.8802595628415293,0.28243315999999996
2003-04-30,-0.41570586,2.5588663,2.8802595628415286,2.97457216
2003-06-18,1.2956954,2.2989166,0.28025956284152964,1.0032212
2003-08-06,-1.0456668,-0.7184693,-0.31974043715847045,0.32719750000000003
2003-09-10,-2.317081,-1.1697356,-0.5197404371584706,1.1473453999999998
2003-10-22,-1.3732826,-1.0324764000000002,-0.4197404371584701,0.34080619999999984
2003-12-03,-1.7614549,-0.9547968,-1.8197404371584704,0.8066580999999999
2004-01-21,-2.211117,-1.5912318,-1.2197404371584708,0.6198852000000001
2004-03-11,-2.0302105,-1.2174021000000002,-1.71974043715847,0.8128083999999998
2004-04-28,-1.4884388000000002,-1.099181,-2.01974043715847,0.3892578000000002
2004-06-23,-1.9458523,-1.5485487,-1.21974043715847,0.3973036000000001
