gb_date,min_signal,max_signal,y_actual,dispersion_cpi
1993-03-17,0.44336444,0.44336444,0.5606215846994537,0.0
1995-01-25,-0.10157368,-0.10157368,0.2606215846994534,0.0
1995-12-14,2.5189934,2.6107523,0.060621584699453675,0.09175890000000031
1996-01-26,-2.2617047,-1.6220647,0.2606215846994534,0.6396400000000002
1996-03-21,-1.2279998,-1.2107629,-0.4393784153005468,0.01723690000000011
1996-05-16,-0.6445827,-0.41961107,-0.1393784153005465,0.22497162999999998
1996-06-26,-0.83951265,-0.83951265,0.9606215846994536,0.0
1996-08-15,0.11621159,0.16108316,0.8606215846994535,0.04487157
1996-09-18,0.14525251,0.40964228,0.060621584699453675,0.26438977
1996-11-06,-0.45545512,2.281466,-0.13937841530054607,2.73692112
1996-12-12,0.17802835,0.64704174,0.2606215846994534,0.46901339000000003
1997-01-29,-0.48488438,2.3223238,0.8606215846994535,2.80720818
1997-03-19,-0.38188303,0.14917165,2.1606215846994536,0.53105468
1997-05-15,0.6243842,0.7330739000000001,2.160621584699453,0.10868970000000011
1997-06-25,0.051523298,0.29390523,0.9606215846994536,0.24238193200000002
1997-08-14,-0.26834878,0.1852389,0.7606215846994534,0.45358768000000005
1997-09-24,0.06284206,0.42589992,0.4606215846994536,0.36305785999999995
1997-11-06,-0.22045842,-0.010698639,0.3606215846994535,0.20975978099999998
1997-12-11,-0.35247934,-0.011948398999999998,2.0606215846994536,0.340530941
1998-01-28,-0.2420322,0.5210522,2.1606215846994536,0.7630844
1998-03-25,-0.4126835,0.67692125,0.9606215846994536,1.08960475
1998-05-14,-0.68845105,0.23264316,0.6606215846994538,0.9210942099999999
1998-06-24,-0.15010079999999998,-0.06138163,0.7606215846994536,0.08871916999999999
1998-08-13,-0.31621900000000003,-0.026235692,0.5606215846994537,0.28998330800000005
1998-09-23,-0.9050352,0.06810427,0.7606215846994536,0.97313947
1998-11-12,-0.15155065,0.05561027,0.6606215846994538,0.20716092000000003
1998-12-16,0.12742344,0.31253220000000004,0.8606215846994535,0.18510876000000004
1999-01-28,-0.8013601,-0.121959604,1.1606215846994532,0.679400496
1999-03-24,-0.25584608,0.45666796,-0.8393784153005462,0.71251404
1999-05-13,-0.5829342,-0.3708926,-0.8393784153005467,0.21204159999999994
1999-06-23,-0.35831255,-0.28811848,0.3606215846994535,0.07019407
1999-08-18,-0.27412575,-0.09072315,0.2606215846994534,0.1834026
1999-09-29,-0.73345965,-0.38143903,-0.1393784153005465,0.35202062
1999-11-10,-0.63723546,-0.36405635,-0.2393784153005461,0.27317911
1999-12-15,-0.63199395,-0.49852645,-0.2393784153005461,0.13346750000000002
2000-01-27,-0.6767554,-0.19663724,-1.5393784153005463,0.48011816
2000-03-15,-0.73032004,-0.25763255,-0.5393784153005464,0.47268748999999993
2000-05-11,-0.7273739,-0.17734405,-0.8393784153005467,0.55002985
2000-06-21,-0.6355609,-0.47967237,0.1606215846994533,0.15588852999999997
2000-08-16,-0.27610892,-0.21707842,-0.1393784153005465,0.059030499999999986
2000-09-27,-0.4499868,-0.11999398,-0.03937841530054642,0.32999282
2000-11-08,-0.9506195,-0.27566352,-0.33937841530054624,0.67495598
2000-12-13,-0.57409304,-0.37830302,-1.5393784153005463,0.19579002000000006
2001-01-25,-1.034568,-0.99004656,-1.2393784153005467,0.04452143999999991
2001-03-14,-2.5868068,-0.5992411999999999,-1.0393784153005463,1.9875656000000004
2001-05-09,-0.8140430000000001,0.43040717,-0.5393784153005464,1.2444501700000001
2001-06-20,1.852461,2.3057132,2.0606215846994536,0.4532522000000001
2001-08-16,1.6190407,1.7004541000000002,1.7606215846994533,0.08141340000000019
2001-09-27,2.2200012000000005,2.4935126,2.1606215846994536,0.2735113999999994
2001-10-31,2.9044385,3.1474051,3.0606215846994536,0.24296659999999992
2001-12-05,1.7750541000000002,2.123704,1.2606215846994533,0.34864989999999985
2002-01-23,1.1663268999999998,1.8128685,1.1606215846994536,0.6465416000000002
2002-03-13,-0.53177077,1.032949,-1.7393784153005467,1.56471977
2002-05-01,-2.9698265,-2.729748,-1.0393784153005463,0.24007850000000008
2002-06-20,-1.6833621,-1.2307022,0.6606215846994535,0.4526599
2002-08-07,0.71385413,0.79174846,0.4606215846994536,0.07789433000000001
2002-09-18,0.5132549,1.1976796,-0.5393784153005466,0.6844247000000001
2002-10-30,-0.66695154,-0.29868135,-0.1393784153005463,0.36827019
2002-12-04,-1.4366435,-1.2759026000000002,-0.8393784153005462,0.16074089999999974
2003-01-22,-0.38269183,0.025046103,-1.9393784153005464,0.407737933
2003-03-13,-0.85963076,1.7531053,1.5606215846994536,2.61273606
2003-04-30,0.98532426,1.3058530000000002,1.0606215846994536,0.3205287400000002
2003-06-18,0.8932257,1.105873,-0.4393784153005463,0.2126473000000001
2003-08-06,-0.61762756,0.23009527,-0.7393784153005466,0.8477228299999999
2003-09-10,-1.20618,0.91475374,0.3606215846994537,2.12093374
2003-10-22,-1.2760295,0.6130237,0.3606215846994535,1.8890531999999998
2003-12-03,-1.9289306,0.19423619,-0.9393784153005464,2.12316679
2004-01-21,-0.9129346,0.6904126,-1.8393784153005464,1.6033472
2004-03-11,-0.14039981,1.1155725,-0.43937841530054655,1.2559723100000002
2004-04-28,-1.6060642,0.010964446,-2.5393784153005465,1.617028646
2004-06-23,-0.757383,-0.40304607,-0.1393784153005465,0.35433693000000005
2004-08-05,0.93280745,1.3214144,0.16062158469945353,0.3886069500000001
2004-09-15,0.6719193,1.3142841,-1.2393784153005467,0.6423648000000001
